token_parameter=18; num_cycles=100000
distinct count; relative bias; relative rmse; min num iterations; mean num iterations; max num iterations
1.0; 6.369093092240585E-7; 7.219991237883925E-7; 0; 0.0; 0
2.0; 1.273102656788676E-6; 1.360532409003049E-6; 0; 1.33392; 2
3.0; 1.9070471905922895E-6; 1.995729274978744E-6; 0; 1.7119; 2
4.0; 2.542343175191717E-6; 2.631596169887438E-6; 0; 1.91347; 3
5.0; 3.1778214513978593E-6; 3.2669846325804462E-6; 0; 1.99594; 3
6.0; 3.814684378048378E-6; 3.904453840105698E-6; 0; 1.99995; 3
7.0; 4.450988912331034E-6; 4.540554508313313E-6; 0; 2.07106; 3
8.0; 3.835967165882804E-6; 3.953044074993876E-4; 0; 2.09337; 3
9.0; 4.609595374810033E-6; 3.5139777318125777E-4; 0; 2.1346; 3
10.0; 4.357401695218277E-6; 4.472400000675188E-4; 0; 2.26972; 3
11.0; 5.175887545428829E-6; 4.065953876258913E-4; 0; 2.26005; 3
12.0; 5.13138275625931E-6; 4.5646752688886875E-4; 0; 2.41434; 3
13.0; 5.189140159487514E-6; 4.865329301155277E-4; 0; 2.48286; 3
14.0; 4.616140828486595E-6; 5.532991144847516E-4; 0; 2.24327; 3
15.0; 4.870608933023875E-6; 5.57789163869296E-4; 2; 2.17999; 3
16.0; 3.922888631106118E-6; 6.249927343492338E-4; 2; 2.41643; 3
17.0; 3.7493900668337542E-6; 6.443618428284387E-4; 2; 2.15008; 3
18.0; 2.5560711439382703E-6; 7.026913220040807E-4; 2; 2.1719; 3
19.0; 5.048233871430865E-7; 7.805810031930652E-4; 2; 2.32935; 3
20.0; 2.1876951293218562E-7; 7.904858591497253E-4; 2; 2.38507; 4
21.0; 1.4490910861841838E-6; 7.528470905055646E-4; 2; 2.41038; 3
22.0; 1.262757070434436E-6; 7.605119863163372E-4; 2; 2.33182; 3
23.0; 1.5834783480714847E-6; 7.529738924152401E-4; 2; 2.36208; 3
