sketch_name=exaloglog; t=2; d=20; p=8; num_cycles=100000; large_scale_simulation_mode_distinct_count_limit=1000000
distinct count; relative bias martingale; relative rmse martingale; theoretical relative standard error martingale; relative bias maximum likelihood; relative rmse maximum likelihood; theoretical relative standard error maximum likelihood
1.0; 0.0; 0.0; 0.019858254964007494; -1.9308568953886035E-4; 4.1362763705226393E-4; 0.022637367183401168
2.0; -3.9157131156565377E-5; 0.010727116218115416; 0.019858254964007494; -2.501785101677155E-4; 0.011731221649374138; 0.022637367183401168
3.0; -2.18811287149029E-5; 0.011597366629329224; 0.019858254964007494; -2.338956186447382E-4; 0.012606556326820431; 0.022637367183401168
4.0; -7.483934469826703E-7; 0.011963403115824599; 0.019858254964007494; -2.1636063067770661E-4; 0.013010069243270122; 0.022637367183401168
5.0; 3.6138032717919044E-5; 0.01204591158481171; 0.019858254964007494; -1.8106714390738048E-4; 0.013101646225680538; 0.022637367183401168
6.0; 4.7389793824404244E-5; 0.012271074922792884; 0.019858254964007494; -1.6035393352448798E-4; 0.013271109593585228; 0.022637367183401168
7.0; 6.61457027745849E-6; 0.012745234547546476; 0.019858254964007494; -2.0066525386072619E-4; 0.013730491381463927; 0.022637367183401168
8.0; 1.9561581215285567E-5; 0.012819688458706822; 0.019858254964007494; -1.924940439428882E-4; 0.013831477752086112; 0.022637367183401168
9.0; 2.8672571877179024E-5; 0.012886305022150546; 0.019858254964007494; -1.8818831792490198E-4; 0.013901380511254316; 0.022637367183401168
10.0; -3.1313722183700845E-5; 0.013232364413716521; 0.019858254964007494; -2.520882056846979E-4; 0.01424419050849266; 0.022637367183401168
11.0; -3.2823123460823176E-5; 0.013267148558315456; 0.019858254964007494; -2.4271983216074672E-4; 0.014241709830838258; 0.022637367183401168
12.0; -3.735430623437586E-5; 0.013323949244571016; 0.019858254964007494; -2.4062583297562156E-4; 0.014278829075210253; 0.022637367183401168
13.0; -5.598900133115452E-6; 0.013260581110360898; 0.019858254964007494; -2.011285510001259E-4; 0.014210973310376336; 0.022637367183401168
14.0; 7.3138190370751E-6; 0.01325628303621837; 0.019858254964007494; -1.9527198161181408E-4; 0.014230395300363357; 0.022637367183401168
15.0; 9.953649421773393E-6; 0.013293105728851768; 0.019858254964007494; -1.8201308346712478E-4; 0.014241049029429504; 0.022637367183401168
16.0; 7.704019049682492E-6; 0.013327930128811744; 0.019858254964007494; -1.819333904937146E-4; 0.014276097301228733; 0.022637367183401168
17.0; 1.3376738699453025E-5; 0.013348849816366571; 0.019858254964007494; -1.881230830639738E-4; 0.01431500979102427; 0.022637367183401168
18.0; 1.6777645166050797E-5; 0.013364497570398717; 0.019858254964007494; -1.8323282174591084E-4; 0.014336102377741852; 0.022637367183401168
19.0; 2.0767497265678348E-5; 0.013378597449513337; 0.019858254964007494; -1.7101773546596778E-4; 0.014342778626628536; 0.022637367183401168
20.0; -6.418990013192391E-6; 0.01345297523069525; 0.019858254964007494; -1.9262932642217552E-4; 0.014411613330735134; 0.022637367183401168
21.0; -1.1461166830256279E-5; 0.013482066024003245; 0.019858254964007494; -1.9415817917058193E-4; 0.014422847866496814; 0.022637367183401168
22.0; 3.568068013479404E-6; 0.013494008100573168; 0.019858254964007494; -1.773585067007431E-4; 0.014424621181549304; 0.022637367183401168
23.0; 2.143499585035135E-5; 0.013489201625094083; 0.019858254964007494; -1.5958455183140763E-4; 0.014411762396398515; 0.022637367183401168
24.0; 7.916064642964013E-6; 0.013513500349130063; 0.019858254964007494; -1.7226629639308533E-4; 0.01443941398316602; 0.022637367183401168
