token_parameter=26; num_cycles=100000
distinct count; relative bias; relative rmse; min num iterations; mean num iterations; max num iterations
1.0; 2.487924274436892E-9; 2.8203057280084927E-9; 0; 0.0; 0
2.0; 4.973047393845853E-9; 5.314568399614335E-9; 0; 1.04333; 2
3.0; 7.449381546102233E-9; 7.795793629971226E-9; 0; 1.23897; 2
4.0; 9.930990386870508E-9; 1.0279631731097993E-8; 0; 1.56356; 2
5.0; 1.241330675185992E-8; 1.276159645320282E-8; 0; 1.45578; 2
6.0; 1.4901027310272319E-8; 1.525168442110325E-8; 0; 1.41792; 2
7.0; 1.73865621983893E-8; 1.7736422139174147E-8; 0; 1.21315; 2
8.0; 1.986697432208695E-8; 2.0217458832944803E-8; 0; 1.7356; 2
9.0; 2.2346383466543706E-8; 2.2696422903907486E-8; 0; 1.62827; 2
10.0; 2.4833484747356135E-8; 2.5182831314652898E-8; 0; 1.49418; 2
11.0; 2.7320423315446102E-8; 2.767176781241282E-8; 0; 1.39757; 2
12.0; 2.98099037144528E-8; 3.016066416170713E-8; 0; 1.67242; 2
13.0; 3.228912902967041E-8; 3.2640421404739525E-8; 0; 1.50678; 2
14.0; 3.477271649097042E-8; 3.512439070594211E-8; 0; 1.61153; 2
15.0; 3.725482312846751E-8; 3.760694584361032E-8; 1; 1.70858; 2
16.0; 3.9737809574962315E-8; 4.009043738443955E-8; 1; 1.76592; 2
17.0; 4.2219602890407475E-8; 4.25715725291655E-8; 1; 1.56431; 2
18.0; 4.4707001497522233E-8; 4.505987639971211E-8; 1; 1.76098; 2
19.0; 4.720259231829896E-8; 4.7554817454609375E-8; 1; 1.83835; 2
20.0; 4.968315328447126E-8; 5.00359540561724E-8; 1; 1.86416; 2
21.0; 5.2163852476767366E-8; 5.251745112324283E-8; 1; 1.81877; 2
22.0; 5.464900661918454E-8; 5.5002274259530676E-8; 1; 1.91758; 2
23.0; 5.7137000618063237E-8; 5.749021961297609E-8; 1; 1.88313; 2
24.0; 5.961907241795868E-8; 5.997236741117316E-8; 1; 1.93773; 2
25.0; 6.210906095889754E-8; 6.246167995625056E-8; 1; 1.92158; 2
26.0; 6.458968623484351E-8; 6.494212616765207E-8; 1; 1.91923; 2
27.0; 6.707038668304116E-8; 6.742273336190619E-8; 1; 1.96009; 2
28.0; 6.955289100036462E-8; 6.990525086816823E-8; 1; 1.99037; 2
29.0; 7.203496154256891E-8; 7.238719656372291E-8; 1; 1.99149; 2
30.0; 7.45165721876558E-8; 7.486817387864117E-8; 1; 1.99366; 2
31.0; 7.699419900534982E-8; 7.734602692014789E-8; 1; 1.99792; 2
32.0; 7.947595212884906E-8; 7.982747021236017E-8; 1; 1.9995; 2
33.0; 8.195930539324599E-8; 8.231042011837169E-8; 1; 1.99639; 2
34.0; 8.444043666921426E-8; 8.479158991081563E-8; 1; 1.99181; 2
35.0; 8.692576096447218E-8; 8.727656343992897E-8; 1; 1.99487; 2
36.0; 8.94076070678097E-8; 8.975837645102215E-8; 1; 1.99989; 2
37.0; 9.18841904218399E-8; 9.223536021407204E-8; 1; 1.99995; 2
38.0; 9.436913972117964E-8; 9.472044154422222E-8; 1; 1.99985; 2
39.0; 9.685102179890036E-8; 9.720232869528038E-8; 2; 2.0; 2
40.0; 9.933951051216816E-8; 9.969105082597777E-8; 1; 1.99999; 2
42.0; 1.0431085482502277E-7; 1.0466257982216655E-7; 2; 2.0; 2
44.0; 1.0927703213095925E-7; 1.09628234487743E-7; 2; 2.00002; 3
46.0; 1.1424473705143087E-7; 1.1459565948908738E-7; 2; 2.0; 2
48.0; 1.1920813663793014E-7; 1.1955885760787952E-7; 2; 2.0; 2
50.0; 1.241844349218539E-7; 1.24535296114924E-7; 2; 2.0; 2
52.0; 1.2914837105806798E-7; 1.2949872190167857E-7; 2; 2.0; 2
54.0; 1.341203069048507E-7; 1.3447036891633615E-7; 2; 2.0; 2
56.0; 1.391001457597772E-7; 1.3944974547777684E-7; 2; 2.0; 2
58.0; 1.4406125151930798E-7; 1.4441093881079965E-7; 2; 2.00003; 3
60.0; 1.490267746014844E-7; 1.493766379676488E-7; 2; 2.0; 2
62.0; 1.5398097225454855E-7; 1.5433081175769195E-7; 2; 2.0; 2
65.0; 7.576609833438834E-9; 4.8650210240593106E-5; 2; 2.0; 2
68.0; 2.182057704076064E-8; 4.650387753576338E-5; 2; 2.0; 2
71.0; -1.0536105271449649E-7; 6.298728997831619E-5; 2; 2.0; 2
74.0; -8.64728198537112E-8; 6.0433735918523774E-5; 2; 2.0; 2
77.0; -6.848314550639755E-8; 5.807916901705611E-5; 2; 2.0; 2
80.0; -5.130343626797717E-8; 5.5901194911381955E-5; 2; 2.0; 2
84.0; -1.485092945251697E-7; 6.520429798711173E-5; 2; 2.0; 2
88.0; -1.2233384030655193E-7; 6.224042453597659E-5; 2; 2.00001; 3
92.0; -9.75656849686486E-8; 5.953429307194865E-5; 2; 2.0; 2
96.0; -7.405732760325634E-8; 5.705366504660936E-5; 2; 2.0; 2
100.0; -5.1611720929027175E-8; 5.477149504195321E-5; 2; 2.00001; 3
104.0; -3.013486158799458E-8; 5.2664894307655704E-5; 2; 2.0; 2
109.0; -4.480661718428308E-9; 5.024905087179399E-5; 2; 2.0; 2
114.0; 2.001019156340153E-8; 4.8045145493335714E-5; 2; 2.00001; 3
119.0; -4.054510035151699E-8; 5.314647552513386E-5; 2; 2.00003; 3
124.0; -1.4574763798595226E-8; 5.100347384271053E-5; 2; 2.00001; 3
130.0; 1.521618367663153E-8; 4.864946384422713E-5; 2; 2.00001; 3
136.0; -2.9846422106401893E-8; 5.1991882670275044E-5; 2; 2.00001; 3
