sketch_name=exaloglog; t=2; d=24; p=10; num_cycles=100000; large_scale_simulation_mode_distinct_count_limit=1000000
distinct count; relative bias martingale; relative rmse martingale; theoretical relative standard error martingale; relative bias maximum likelihood; relative rmse maximum likelihood; theoretical relative standard error maximum likelihood
1.0; 0.0; 0.0; 0.009570795826192524; -4.1471083980948446E-5; 7.812459190617098E-5; 0.010742449586704707
2.0; -1.0930318522926612E-5; 0.005244354313791876; 0.009570795826192524; -5.3343414976412303E-5; 0.005477503365762932; 0.010742449586704707
3.0; 1.5052590233630233E-5; 0.004944175521627489; 0.009570795826192524; -3.2278837830163386E-5; 0.005374172883665831; 0.010742449586704707
4.0; 2.652385586356344E-6; 0.005700686978499638; 0.009570795826192524; -4.0488423416588496E-5; 0.005967910887649735; 0.010742449586704707
5.0; 2.2865523803191616E-5; 0.005549418459819486; 0.009570795826192524; -2.272337698347354E-5; 0.005864118274127595; 0.010742449586704707
6.0; 3.2663650156457916E-5; 0.005601665668769562; 0.009570795826192524; -8.08439052050233E-6; 0.005843396386433911; 0.010742449586704707
7.0; 3.5121503728314646E-5; 0.005730228083284208; 0.009570795826192524; -3.880727809663283E-6; 0.005955796591405435; 0.010742449586704707
8.0; 3.0527650534316636E-5; 0.005899433181133779; 0.009570795826192524; -1.515411380692123E-5; 0.006194396965922316; 0.010742449586704707
9.0; 2.3424694153797273E-5; 0.0060698939475516715; 0.009570795826192524; -2.223347868345654E-5; 0.006355195624747935; 0.010742449586704707
10.0; 4.1591111290862744E-5; 0.005993420970891848; 0.009570795826192524; -1.525400467677942E-6; 0.006259739990458993; 0.010742449586704707
11.0; 4.354157836889318E-5; 0.006048735718109941; 0.009570795826192524; -1.3334732725224282E-6; 0.006325553454061592; 0.010742449586704707
12.0; 3.333979165248972E-5; 0.006174150298349949; 0.009570795826192524; -1.3209100456936316E-5; 0.006455923265869007; 0.010742449586704707
13.0; 1.6098784710057063E-5; 0.006318785972282272; 0.009570795826192524; -3.13461312048863E-5; 0.006597807060794409; 0.010742449586704707
14.0; 2.6180006770552515E-6; 0.006417485030697306; 0.009570795826192524; -4.347212084122975E-5; 0.006684485015382596; 0.010742449586704707
15.0; 2.2861275731239975E-5; 0.006327906579166736; 0.009570795826192524; -2.1263800347472225E-5; 0.006586594968941813; 0.010742449586704707
16.0; 8.5319252269131E-6; 0.006421006441890472; 0.009570795826192524; -3.385963364415992E-5; 0.0066679390473859766; 0.010742449586704707
17.0; 1.2865789470508479E-5; 0.006417064921304495; 0.009570795826192524; -2.8848123970725736E-5; 0.006660757755677182; 0.010742449586704707
18.0; 8.270255500430604E-6; 0.006449453002329346; 0.009570795826192524; -3.204699332013041E-5; 0.00669024930616419; 0.010742449586704707
19.0; 7.739361742015565E-6; 0.006451943482983309; 0.009570795826192524; -3.0713029282110376E-5; 0.006685239167145522; 0.010742449586704707
20.0; -1.8522841448381354E-6; 0.006502673701530977; 0.009570795826192524; -4.204981437219762E-5; 0.006744358333304325; 0.010742449586704707
21.0; -6.307530194001662E-6; 0.006525019977490778; 0.009570795826192524; -4.8395627747845384E-5; 0.006771365666140458; 0.010742449586704707
22.0; -4.517603291888238E-6; 0.006519499263425848; 0.009570795826192524; -4.685645910090131E-5; 0.006765332387732881; 0.010742449586704707
23.0; -7.322591695168308E-6; 0.006528272807596654; 0.009570795826192524; -4.958773483774199E-5; 0.006774913874325753; 0.010742449586704707
