token_parameter=10; num_cycles=100000
distinct count; relative bias; relative rmse; min num iterations; mean num iterations; max num iterations
1.0; 1.6309417110777898E-4; 1.8488777247207156E-4; 0; 0.0; 0
2.0; 1.5096877382606252E-4; 0.009358639662239657; 0; 1.62637; 3
3.0; 1.6825703461835465E-4; 0.010333343213371348; 0; 1.91656; 3
4.0; 1.6079591055589344E-4; 0.0110710453578354; 0; 2.07867; 3
5.0; 1.753791999764315E-4; 0.01133105087143855; 0; 2.28451; 3
6.0; 1.3784204887888615E-4; 0.011835257931283654; 0; 2.2449; 4
7.0; 1.2309846555610696E-4; 0.01206198666800513; 0; 2.25408; 4
8.0; 1.5244178947677214E-4; 0.012035372337116781; 0; 2.27486; 4
9.0; 1.4558300633891368E-4; 0.012153246292637088; 0; 2.31132; 4
10.0; 1.560491427995269E-4; 0.012171386517060793; 0; 2.41104; 4
11.0; 1.622885942840683E-4; 0.012193316653343863; 0; 2.32575; 4
12.0; 1.747646249477964E-4; 0.012214331049229738; 0; 2.30489; 4
13.0; 1.765034158865404E-4; 0.012251930912965921; 0; 2.37596; 4
14.0; 1.9148031026463403E-4; 0.012256440255513434; 0; 2.37339; 4
15.0; 2.1535383290782065E-4; 0.012221487818681678; 2; 2.34293; 4
16.0; 2.094996133933762E-4; 0.012268037365662888; 2; 2.37656; 4
17.0; 2.1034568407471974E-4; 0.012287460062734795; 2; 2.35163; 4
18.0; 2.0664006590194573E-4; 0.012326534954138582; 2; 2.33853; 4
19.0; 1.9028622314382824E-4; 0.012377952994933722; 2; 2.3744; 4
20.0; 1.7531050550097897E-4; 0.012427480090701009; 2; 2.32681; 4
21.0; 1.6714319616640936E-4; 0.012473978974810113; 2; 2.35672; 4
22.0; 1.596675262618326E-4; 0.012503095958520465; 2; 2.34559; 4
23.0; 1.7944202894864877E-4; 0.012489380253764714; 2; 2.39831; 4
24.0; 1.775389619950668E-4; 0.012515268769026838; 2; 2.36493; 4
25.0; 1.7600995717741348E-4; 0.012517307179102634; 2; 2.41695; 4
26.0; 1.7100073671710072E-4; 0.012543129206773671; 2; 2.42752; 4
27.0; 1.8176131414537184E-4; 0.01251399733945127; 2; 2.4237; 4
28.0; 1.735395938717664E-4; 0.01252848191728478; 2; 2.4355; 4
29.0; 1.7815351400293577E-4; 0.012515305702447035; 2; 2.45122; 4
30.0; 1.7301631566277753E-4; 0.01252704695746038; 2; 2.47329; 4
31.0; 1.9604970234209874E-4; 0.012511037021206924; 2; 2.50246; 4
32.0; 1.9516127617545966E-4; 0.012518005999152707; 2; 2.53141; 4
33.0; 1.9695072095133253E-4; 0.012513804165630468; 2; 2.48508; 4
34.0; 2.0508492777878803E-4; 0.012520143078438604; 2; 2.49724; 4
35.0; 2.0844953588288013E-4; 0.01253287104378742; 2; 2.51521; 4
36.0; 2.0692372981066313E-4; 0.012540859635791539; 2; 2.57769; 4
37.0; 2.111536819300197E-4; 0.012540126693128786; 2; 2.63242; 4
38.0; 2.1278292234839014E-4; 0.01254053580994619; 2; 2.691; 4
39.0; 2.1412770818768841E-4; 0.012548934488446021; 2; 2.73813; 4
40.0; 2.2217296917382838E-4; 0.012553988099373173; 2; 2.78196; 4
42.0; 2.1124805325913027E-4; 0.012584793736122231; 2; 2.89144; 4
44.0; 2.2761130639787014E-4; 0.012596528079201514; 2; 2.97729; 4
46.0; 2.177878496050671E-4; 0.012613812297929825; 2; 3.03317; 4
48.0; 2.2168872738318035E-4; 0.012635020030088066; 2; 3.07426; 4
50.0; 2.331638368797709E-4; 0.012640140305417508; 2; 3.10821; 4
