sketch_name=exaloglog; t=1; d=9; p=6; num_cycles=100000; large_scale_simulation_mode_distinct_count_limit=1000000
distinct count; relative bias martingale; relative rmse martingale; theoretical relative standard error martingale; relative bias maximum likelihood; relative rmse maximum likelihood; theoretical relative standard error maximum likelihood
1.0; 0.0; 0.0; 0.05474022266893929; -0.0013784252540531199; 0.002165655075358579; 0.061733385393375514
2.0; -1.5362906948402491E-4; 0.028336786681331837; 0.05474022266893929; -0.0015524889534940215; 0.02978707831858824; 0.061733385393375514
3.0; -9.603749473080579E-5; 0.03167083956437487; 0.05474022266893929; -0.0015018350060577836; 0.033273759306187915; 0.061733385393375514
4.0; -1.2853608297323953E-4; 0.03347776456850653; 0.05474022266893929; -0.0015147509575771463; 0.03502173454897711; 0.061733385393375514
5.0; -1.3851840697796247E-4; 0.034521036433443585; 0.05474022266893929; -0.001539492425328544; 0.03615587918866707; 0.061733385393375514
6.0; -1.8589532279554438E-4; 0.03529228655880088; 0.05474022266893929; -0.001593212737082767; 0.03698389827908647; 0.061733385393375514
7.0; -1.515400435624213E-4; 0.03562060104092283; 0.05474022266893929; -0.0015589369151731492; 0.0373440337819066; 0.061733385393375514
8.0; -1.0472176818432595E-4; 0.03591401292004099; 0.05474022266893929; -0.0015270429824931389; 0.03765359833199394; 0.061733385393375514
9.0; -1.1968065064587449E-4; 0.036163897773649714; 0.05474022266893929; -0.0015436290484180004; 0.03794210607494514; 0.061733385393375514
10.0; -2.1483720644424408E-4; 0.03649342231617304; 0.05474022266893929; -0.0016352636462497363; 0.03829051715200169; 0.061733385393375514
11.0; -1.7103925947511064E-4; 0.036650625536123985; 0.05474022266893929; -0.0015855090686508746; 0.03845021287602549; 0.061733385393375514
12.0; -2.3105526572380893E-4; 0.03686421158604855; 0.05474022266893929; -0.0015948404393808966; 0.038605130981324925; 0.061733385393375514
13.0; -2.1834156664426907E-4; 0.037002067616503806; 0.05474022266893929; -0.0015415897412425173; 0.038721742349077506; 0.061733385393375514
14.0; -2.1428760981536372E-4; 0.0370862870445986; 0.05474022266893929; -0.0015451874397332372; 0.03882226177268283; 0.061733385393375514
15.0; -1.8756641326546586E-4; 0.03718456793966369; 0.05474022266893929; -0.0015145403414296352; 0.03897376609084325; 0.061733385393375514
16.0; -1.732118157833243E-4; 0.03723513454422847; 0.05474022266893929; -0.0015077462448029298; 0.03905706727912383; 0.061733385393375514
17.0; -1.719030101592822E-4; 0.037309379880470665; 0.05474022266893929; -0.0015088960957542806; 0.03915137849735755; 0.061733385393375514
18.0; -1.755357445787253E-4; 0.03745797136783799; 0.05474022266893929; -0.0014913116017939527; 0.03928607418737998; 0.061733385393375514
19.0; -2.248841889491919E-4; 0.03757793219770573; 0.05474022266893929; -0.0015242442484173647; 0.0393991519206286; 0.061733385393375514
20.0; -2.853259037986711E-4; 0.037686347308805976; 0.05474022266893929; -0.0015866331463028724; 0.039515544672954914; 0.061733385393375514
21.0; -2.3140584250808124E-4; 0.03766126328508041; 0.05474022266893929; -0.001536340952158335; 0.039482840238207806; 0.061733385393375514
22.0; -1.9819070875443527E-4; 0.03767419625284666; 0.05474022266893929; -0.0014979157017572624; 0.03947780907029639; 0.061733385393375514
23.0; -1.5191647037591773E-4; 0.03770288171974683; 0.05474022266893929; -0.0014510104158556726; 0.039522635613777043; 0.061733385393375514
24.0; -1.7483001005204096E-4; 0.037729083132906675; 0.05474022266893929; -0.0014749815621204335; 0.039554820164144806; 0.061733385393375514
25.0; -2.1113606246406182E-4; 0.03776272646773555; 0.05474022266893929; -0.001514920870594323; 0.039597087322843394; 0.061733385393375514
26.0; -2.0078315985815835E-4; 0.03779412699133189; 0.05474022266893929; -0.0015313301096863423; 0.0396501922406051; 0.061733385393375514
27.0; -1.9371821214530868E-4; 0.03786917683755256; 0.05474022266893929; -0.0015007305461683415; 0.03969837093500449; 0.061733385393375514
28.0; -1.396743016619025E-4; 0.037829832713120015; 0.05474022266893929; -0.0014432132717787439; 0.039687324834798574; 0.061733385393375514
29.0; -1.285764382725566E-4; 0.03788967023254379; 0.05474022266893929; -0.0014303867365783958; 0.03974836492864413; 0.061733385393375514
30.0; -1.752055446145509E-4; 0.0379275323560154; 0.05474022266893929; -0.0014790140610650405; 0.03979915668769121; 0.061733385393375514
31.0; -1.3891562396814588E-4; 0.037890784906051425; 0.05474022266893929; -0.0014502970835782386; 0.03976737456346943; 0.061733385393375514
32.0; -1.3214546337479602E-4; 0.03793192064191683; 0.05474022266893929; -0.0014338477347359217; 0.03981011154246456; 0.061733385393375514
33.0; -1.7062298724811618E-4; 0.03798167548651933; 0.05474022266893929; -0.001441024231971664; 0.03986390931304239; 0.061733385393375514
34.0; -1.7481372975293474E-4; 0.03799067878193134; 0.05474022266893929; -0.0014420305260612952; 0.03988747874193752; 0.061733385393375514
35.0; -1.767059958784496E-4; 0.03803672709911845; 0.05474022266893929; -0.001443319217003991; 0.039942635376100315; 0.061733385393375514
36.0; -1.7720610749619756E-4; 0.03805153903305389; 0.05474022266893929; -0.0014440013234706998; 0.03992993367069675; 0.061733385393375514
37.0; -1.8982952158035828E-4; 0.03807489343768514; 0.05474022266893929; -0.0014520852370335097; 0.039948774324708926; 0.061733385393375514
38.0; -1.866444571892723E-4; 0.038084101726779916; 0.05474022266893929; -0.0014539523232467283; 0.039971018518341526; 0.061733385393375514
39.0; -2.1782483153830914E-4; 0.03816185793978022; 0.05474022266893929; -0.0014770593738150316; 0.0400545137746631; 0.061733385393375514
40.0; -2.2737246120334105E-4; 0.038169494399132475; 0.05474022266893929; -0.0014814219381594225; 0.040050107539450125; 0.061733385393375514
42.0; -2.0235696091783881E-4; 0.03820443849277557; 0.05474022266893929; -0.0014488477647893626; 0.040110743473976834; 0.061733385393375514
44.0; -1.4937008851850816E-4; 0.038208047120980033; 0.05474022266893929; -0.0013993127091572204; 0.0401127359868306; 0.061733385393375514
46.0; -1.0699444932017681E-4; 0.03827215297284473; 0.05474022266893929; -0.0013543136532965835; 0.040172560926608473; 0.061733385393375514
48.0; -1.0554026591947913E-4; 0.038323834964531914; 0.05474022266893929; -0.0013535422879409236; 0.040208557595264253; 0.061733385393375514
50.0; -6.985029086226124E-5; 0.038353449897492765; 0.05474022266893929; -0.001313758149331689; 0.04025172616107439; 0.061733385393375514
52.0; -1.0059715956387226E-4; 0.038418968760274896; 0.05474022266893929; -0.001330522256609993; 0.04033772341442429; 0.061733385393375514
54.0; -1.5280994849207208E-4; 0.03842916902994308; 0.05474022266893929; -0.0013724079649650636; 0.040325805200008315; 0.061733385393375514
56.0; -1.7752518017161804E-4; 0.038513958120830506; 0.05474022266893929; -0.001395133036102595; 0.04042535884594538; 0.061733385393375514
58.0; -1.8840328267696738E-4; 0.03857922041534693; 0.05474022266893929; -0.0013935365474969093; 0.04052011235414444; 0.061733385393375514
60.0; -1.8391230181417922E-4; 0.038640405397502034; 0.05474022266893929; -0.0013893997203377319; 0.04059177520310462; 0.061733385393375514
62.0; -1.501960158826351E-4; 0.03873013754409732; 0.05474022266893929; -0.0013707392203010918; 0.040696552337880505; 0.061733385393375514
65.0; -1.4929389389017515E-4; 0.038783743915120635; 0.05474022266893929; -0.0013706329803412748; 0.04075163317389393; 0.061733385393375514
68.0; -1.7847179529004563E-4; 0.038778654122063445; 0.05474022266893929; -0.0013889885036192217; 0.04075391058656238; 0.061733385393375514
71.0; -1.1411323140966144E-4; 0.038828105417114706; 0.05474022266893929; -0.0013175782909685993; 0.04084058472154634; 0.061733385393375514
74.0; -1.2209356627960856E-4; 0.03886939017682406; 0.05474022266893929; -0.001321682176891143; 0.040893151491501294; 0.061733385393375514
77.0; -1.1702317450967979E-4; 0.038939935785354846; 0.05474022266893929; -0.0013160688828375844; 0.040989125174850906; 0.061733385393375514
80.0; -1.0959437168777712E-4; 0.039029207244974926; 0.05474022266893929; -0.0012938796652926725; 0.04110169294796565; 0.061733385393375514
84.0; -1.266983544402512E-4; 0.03915496981493444; 0.05474022266893929; -0.0013204338138250453; 0.04122582477937225; 0.061733385393375514
88.0; -8.41899533363579E-5; 0.039160037032849974; 0.05474022266893929; -0.0012967533260540896; 0.041244674883379635; 0.061733385393375514
92.0; -8.93910363003277E-5; 0.03921755992124841; 0.05474022266893929; -0.0013023607408007482; 0.0413031653153479; 0.061733385393375514
96.0; -1.2549620484286512E-4; 0.039308723549977456; 0.05474022266893929; -0.001318479202265691; 0.04138953840406849; 0.061733385393375514
100.0; -1.2123549955932567E-4; 0.03938201171071521; 0.05474022266893929; -0.0012926997899608498; 0.041453826787407416; 0.061733385393375514
105.0; -1.0508955883363374E-4; 0.03945400607916323; 0.05474022266893929; -0.0012406250930723215; 0.0415583696688943; 0.061733385393375514
110.0; -1.460752967899393E-4; 0.03948630583529699; 0.05474022266893929; -0.001273153908355248; 0.041556570876033; 0.061733385393375514
115.0; -1.4038027491477975E-4; 0.03958128381647609; 0.05474022266893929; -0.0012740775333119837; 0.0416996547285177; 0.061733385393375514
120.0; -1.5722110534682488E-4; 0.039636501021862704; 0.05474022266893929; -0.0012852922413249576; 0.041815891892079154; 0.061733385393375514
125.0; -1.6073145043537688E-4; 0.0396951251851384; 0.05474022266893929; -0.0012909291240391452; 0.04186878342498202; 0.061733385393375514
131.0; -6.43172158939208E-5; 0.03980040743120454; 0.05474022266893929; -0.0012078249889683156; 0.04201677414117597; 0.061733385393375514
137.0; -4.7890929237353084E-5; 0.03979066459325924; 0.05474022266893929; -0.0012144872111774629; 0.04204380847539207; 0.061733385393375514
143.0; -2.496212610321673E-5; 0.03985467456578193; 0.05474022266893929; -0.0011929423505185144; 0.04213050356850478; 0.061733385393375514
150.0; -7.623689050575787E-5; 0.039971183108783524; 0.05474022266893929; -0.0011999518098359965; 0.042245934548499585; 0.061733385393375514
157.0; -7.769882153880899E-5; 0.0400482749962953; 0.05474022266893929; -0.001191853130957243; 0.04235547120761202; 0.061733385393375514
164.0; -9.123292144788785E-5; 0.04010410787942311; 0.05474022266893929; -0.0012049984501160786; 0.04241413497931447; 0.061733385393375514
172.0; -1.657079630825797E-4; 0.040204323802734025; 0.05474022266893929; -0.0012700942969218062; 0.04259148564258504; 0.061733385393375514
180.0; -1.3627142162863376E-4; 0.040332662000087; 0.05474022266893929; -0.0012265125056214732; 0.04275459887913964; 0.061733385393375514
