token_parameter=12; num_cycles=100000
distinct count; relative bias; relative rmse; min num iterations; mean num iterations; max num iterations
1.0; 4.0764998447869065E-5; 4.621140161633134E-5; 0; 0.0; 0
2.0; 4.148219599293211E-5; 0.004472736327844554; 0; 1.79062; 3
3.0; 4.205369657383926E-5; 0.005164613517893809; 0; 1.83611; 3
4.0; 4.270752772542901E-5; 0.005477659284783749; 0; 2.0303; 3
5.0; 4.737173556559001E-5; 0.0055856902531019655; 0; 2.30472; 3
6.0; 3.411632640896542E-5; 0.0059150767298279455; 0; 2.25983; 3
7.0; 3.482518132751549E-5; 0.005974052523452174; 0; 2.28627; 4
8.0; 4.795688133789863E-5; 0.005886638440563497; 0; 2.31042; 3
9.0; 4.3836104809568825E-5; 0.005978819345293009; 0; 2.32187; 3
10.0; 3.677996029741457E-5; 0.006075973259448694; 0; 2.35422; 4
11.0; 4.2960043393042044E-5; 0.006055793189053597; 0; 2.34221; 4
12.0; 5.661521913677763E-5; 0.005987572000633647; 0; 2.35719; 4
13.0; 6.041654069162196E-5; 0.006010365263301852; 0; 2.36792; 4
14.0; 5.596233478727852E-5; 0.0060667559514564805; 0; 2.38871; 4
15.0; 6.0841679103357176E-5; 0.006056015159163692; 2; 2.43283; 4
16.0; 5.2682898037726364E-5; 0.00611165854559577; 2; 2.41698; 4
17.0; 5.260303225151413E-5; 0.0061273688506265495; 2; 2.32731; 4
18.0; 5.770090341485645E-5; 0.006122867017001254; 2; 2.33619; 4
19.0; 5.298033123323818E-5; 0.006163292032410883; 2; 2.32641; 4
20.0; 4.0051704656370987E-5; 0.006224699922449977; 2; 2.38229; 4
21.0; 3.365275564627719E-5; 0.006254055094974438; 2; 2.32056; 4
22.0; 3.342645104810821E-5; 0.00626470542706713; 2; 2.3496; 4
23.0; 3.898169877975497E-5; 0.006259801390905519; 2; 2.33352; 4
24.0; 3.443061471753833E-5; 0.00629058379754044; 2; 2.35741; 4
25.0; 3.803395501111402E-5; 0.006279457075765379; 2; 2.3822; 4
26.0; 3.70239484267287E-5; 0.0062860336260683585; 2; 2.38509; 4
27.0; 4.3551356415977146E-5; 0.006265391690464781; 2; 2.37082; 4
28.0; 3.60799741001608E-5; 0.006291080988282493; 2; 2.36984; 4
29.0; 4.194378908107665E-5; 0.006271538631096739; 2; 2.37585; 4
30.0; 3.975725751400935E-5; 0.006273974585791348; 2; 2.39088; 4
31.0; 4.415298388128139E-5; 0.0062646234086499155; 2; 2.39716; 4
32.0; 4.8369658927889896E-5; 0.006259816878911395; 2; 2.40487; 4
33.0; 4.2664768174842045E-5; 0.006270189776074698; 2; 2.33683; 4
34.0; 4.2898426092227245E-5; 0.006277131334402442; 2; 2.33539; 4
35.0; 4.723205250358842E-5; 0.006263599423223126; 2; 2.32105; 4
36.0; 4.6003979030955894E-5; 0.0062652258081577405; 2; 2.35127; 4
37.0; 5.101767584818349E-5; 0.006256119403440415; 2; 2.35256; 4
38.0; 4.589356463643505E-5; 0.006269706851622898; 2; 2.34132; 4
39.0; 5.4395891211616654E-5; 0.006255563278619118; 2; 2.3385; 4
40.0; 5.8841729373410845E-5; 0.0062522960080292666; 2; 2.35977; 4
42.0; 5.53882801244772E-5; 0.006270262371972683; 2; 2.37125; 4
44.0; 6.069597738286798E-5; 0.0062652721890794705; 2; 2.36964; 4
46.0; 6.347308910082896E-5; 0.006267610766256077; 2; 2.37573; 4
48.0; 5.913155865176913E-5; 0.0062780123520418145; 2; 2.36897; 4
50.0; 6.224839524834862E-5; 0.0062810671324551835; 2; 2.39258; 4
52.0; 5.728664953633426E-5; 0.006290078177143277; 2; 2.38469; 4
54.0; 5.8852642305586185E-5; 0.006290172514092181; 2; 2.39488; 4
56.0; 6.032206253276649E-5; 0.006288414301003517; 2; 2.39064; 4
58.0; 6.059532169755106E-5; 0.0062976037179259085; 2; 2.38678; 4
60.0; 6.700752435784002E-5; 0.006297157014778619; 2; 2.40355; 4
62.0; 7.791341286010289E-5; 0.006287359886996896; 2; 2.40119; 4
65.0; 7.856394737578424E-5; 0.006290833093877364; 2; 2.36179; 4
68.0; 7.90548729814996E-5; 0.006300799036632426; 2; 2.35864; 4
71.0; 7.87903210816116E-5; 0.006309519013043943; 2; 2.36274; 4
74.0; 8.181729106005481E-5; 0.006305629427325076; 2; 2.36575; 4
77.0; 7.803094112905056E-5; 0.006309444799162511; 2; 2.37408; 4
80.0; 7.895955837173742E-5; 0.00630873493488557; 2; 2.37381; 4
84.0; 8.128707330217391E-5; 0.006296622113128368; 2; 2.38667; 4
88.0; 8.01668760790569E-5; 0.006301467550186486; 2; 2.3967; 4
92.0; 7.95664590817923E-5; 0.006308030819718485; 2; 2.40668; 4
96.0; 7.798286367896591E-5; 0.00631627790919275; 2; 2.40936; 4
100.0; 7.720813114576674E-5; 0.0063247275777048115; 2; 2.42201; 4
104.0; 6.103894903257775E-5; 0.006342070609822835; 2; 2.43472; 4
109.0; 6.732038580555676E-5; 0.006344086822761885; 2; 2.45602; 4
114.0; 7.047239176562832E-5; 0.006338114487294783; 2; 2.47471; 4
119.0; 7.799175657625364E-5; 0.006332915662912453; 2; 2.49443; 4
124.0; 7.912726420053892E-5; 0.006334579814066219; 2; 2.51812; 4
130.0; 6.993670484596592E-5; 0.006342500248580826; 2; 2.48064; 4
136.0; 7.349158758613282E-5; 0.006340836435882422; 2; 2.51575; 4
142.0; 6.975225176896035E-5; 0.006335922637496053; 2; 2.56666; 4
149.0; 6.981144241072256E-5; 0.006341333109895057; 2; 2.6341; 4
156.0; 6.722826994318933E-5; 0.006344667801919685; 2; 2.72239; 4
163.0; 5.9159117240828706E-5; 0.006359224714828335; 2; 2.80891; 4
171.0; 5.887227165821579E-5; 0.006361831829012584; 2; 2.91424; 4
179.0; 6.021712962720527E-5; 0.006362905493314155; 2; 2.99346; 4
187.0; 5.574494142092748E-5; 0.00635585536549973; 2; 3.04919; 4
196.0; 5.4350857626402715E-5; 0.006351140332704631; 2; 3.09482; 4
205.0; 6.054696797207429E-5; 0.006347491572974633; 2; 3.13917; 4
215.0; 6.270917528877838E-5; 0.006353986297512608; 2; 3.2019; 4
225.0; 6.54930353108735E-5; 0.006360574557039465; 3; 3.2837; 4
236.0; 6.216915659008693E-5; 0.006366256753347486; 3; 3.39833; 4
247.0; 6.064430732941058E-5; 0.006367808950686347; 3; 3.53495; 4
259.0; 6.214941822854506E-5; 0.006368475027048545; 3; 3.36936; 4
271.0; 5.398455008730667E-5; 0.006378348808628804; 3; 3.51052; 4
284.0; 5.8032208660477524E-5; 0.006384970551243703; 3; 3.22399; 4
298.0; 6.888842825546835E-5; 0.006385091500677553; 3; 3.2546; 4
312.0; 7.399049199380694E-5; 0.006385295291227853; 3; 3.41085; 5
327.0; 6.178489856724354E-5; 0.006386728577844919; 3; 3.30189; 5
343.0; 6.45236893358874E-5; 0.006391206288160381; 3; 3.38795; 5
360.0; 7.111189804385374E-5; 0.006397893956172719; 3; 3.37704; 5
377.0; 7.34108174572242E-5; 0.006395352079191769; 3; 3.39978; 5
395.0; 7.498999975951993E-5; 0.006389221470164287; 3; 3.39767; 5
414.0; 7.731610449338084E-5; 0.00638975255672912; 3; 3.41582; 5
434.0; 8.34416251807649E-5; 0.006393026670556761; 3; 3.41366; 5
455.0; 8.723893578771532E-5; 0.006393480896053755; 3; 3.43143; 5
477.0; 9.019350006515603E-5; 0.006403030202899557; 3; 3.4368; 5
500.0; 7.388422210820107E-5; 0.0064031740539920706; 3; 3.44823; 5
525.0; 7.787007738832373E-5; 0.006405713766585553; 3; 3.43638; 5
551.0; 8.142295892236304E-5; 0.006402193123755794; 3; 3.38191; 5
578.0; 7.503291483171552E-5; 0.006408130130316753; 3; 3.38578; 5
606.0; 7.728035791822383E-5; 0.006405366517367562; 3; 3.39583; 5
636.0; 7.740030722667766E-5; 0.006403027921205181; 3; 3.40544; 5
667.0; 6.550046380972224E-5; 0.0064049071747938205; 3; 3.4113; 5
700.0; 6.261160634919302E-5; 0.00641926865266396; 3; 3.41623; 5
734.0; 6.0575151303687795E-5; 0.006434816527338944; 3; 3.42777; 5
770.0; 5.5400446505915586E-5; 0.006434376257024791; 3; 3.43336; 5
808.0; 5.5886916856137886E-5; 0.0064249076991528065; 3; 3.44179; 5
848.0; 4.951272342601524E-5; 0.006438113010460339; 3; 3.44768; 5
890.0; 5.028598349107335E-5; 0.006446997302082225; 3; 3.46239; 5
934.0; 5.7059034003328463E-5; 0.006440176837899914; 3; 3.47043; 5
980.0; 5.676806187838919E-5; 0.006450374588139216; 3; 3.4762; 5
1029.0; 5.862743509340515E-5; 0.00646207358245215; 3; 3.464; 5
1080.0; 5.731946681632944E-5; 0.006457875450106307; 3; 3.46191; 5
1134.0; 5.6077700855554E-5; 0.006457829229172683; 3; 3.41337; 5
1190.0; 5.0506817654510675E-5; 0.006456777029789083; 3; 3.41741; 5
1249.0; 4.6389597457444154E-5; 0.006465365686146994; 3; 3.43539; 5
1311.0; 4.6002142713055896E-5; 0.006465553001391045; 3; 3.44284; 5
1376.0; 4.208700297515741E-5; 0.00647084549666012; 3; 3.45117; 5
1444.0; 4.008879732190387E-5; 0.006466588045505147; 3; 3.45816; 5
1516.0; 4.3512672819213916E-5; 0.006468434990213925; 3; 3.46851; 5
1591.0; 4.4989515124091615E-5; 0.0064741632783539334; 3; 3.48353; 5
1670.0; 4.00488616875562E-5; 0.006493422809847523; 3; 3.49296; 5
1753.0; 3.9980426323950684E-5; 0.006506378537406504; 3; 3.50255; 5
1840.0; 4.191000733591663E-5; 0.006507142942793129; 3; 3.51749; 5
1931.0; 4.324266231988535E-5; 0.006508992082034965; 3; 3.52922; 5
2027.0; 2.7165898476470945E-5; 0.006529306833090344; 3; 3.5309; 5
2128.0; 2.6260996734879463E-5; 0.00653281149878575; 3; 3.49245; 5
2234.0; 3.258187557293044E-5; 0.006538626740375572; 3; 3.50845; 5
2345.0; 4.2000047898609156E-5; 0.0065490271672138224; 3; 3.51659; 6
2462.0; 4.570453010131284E-5; 0.0065472808731155555; 3; 3.51879; 5
2585.0; 5.080868903982575E-5; 0.006547261121112503; 3; 3.47112; 5
2714.0; 5.5958356837251725E-5; 0.0065548966738989125; 3; 3.48637; 5
2849.0; 6.078421647625786E-5; 0.00656361809795764; 3; 3.49625; 6
2991.0; 6.812863008261131E-5; 0.006576391342269591; 3; 3.49899; 5
3140.0; 7.272375329333118E-5; 0.006592951711445289; 3; 3.51076; 5
3296.0; 8.039980138075863E-5; 0.006616988294617542; 3; 3.52144; 6
3460.0; 7.45386383374386E-5; 0.006620197366307033; 3; 3.53291; 6
3633.0; 8.273347883259397E-5; 0.0066344166200776765; 3; 3.56032; 6
3814.0; 7.701549518132979E-5; 0.006645612294499492; 3; 3.55058; 6
4004.0; 7.715368574239066E-5; 0.006646697164478632; 3; 3.59804; 6
4204.0; 6.573141352933084E-5; 0.006667257406469902; 3; 3.67328; 6
4414.0; 5.4950107822639015E-5; 0.006690229279842818; 3; 3.83897; 6
4634.0; 6.43903048460233E-5; 0.006717387700498276; 3; 4.1123; 6
4865.0; 6.741814533730211E-5; 0.006734348997521693; 3; 4.38102; 6
5108.0; 7.305499166784265E-5; 0.0067408452846742725; 3; 4.46591; 6
