sketch_name=exaloglog; t=1; d=9; p=10; num_cycles=100000; large_scale_simulation_mode_distinct_count_limit=1000000
distinct count; relative bias maximum likelihood; relative rmse maximum likelihood; theoretical relative standard error maximum likelihood; relative bias martingale; relative rmse martingale; theoretical relative standard error martingale; min num iterations; mean num iterations; max num iterations
1.0; -8.665673385201966E-5; 1.353674013959497E-4; 0.015433346348343879; 0.0; 0.0; 0.013685055667234823; 0; 0.0; 0
2.0; -1.1712855252615522E-4; 0.008063039172924641; 0.015433346348343879; -2.943714020021466E-5; 0.007746715890153199; 0.013685055667234823; 0; 1.64723; 3
3.0; -1.1819468683034039E-4; 0.008755361890214555; 0.015433346348343879; -2.8832310859736374E-5; 0.008366736378492104; 0.013685055667234823; 0; 1.90286; 3
4.0; -1.0657567509465951E-4; 0.008908059271253557; 0.015433346348343879; -2.595317538711904E-5; 0.008623405978923358; 0.013685055667234823; 0; 2.36307; 3
5.0; -1.4602364784600046E-4; 0.009545361202784566; 0.015433346348343879; -5.8171382729730635E-5; 0.009161716805249432; 0.013685055667234823; 0; 2.32549; 4
6.0; -1.2911047624855656E-4; 0.009463935821633147; 0.015433346348343879; -3.455970475542234E-5; 0.00900070557846451; 0.013685055667234823; 0; 2.30692; 4
7.0; -1.2029916012638881E-4; 0.009463055738005294; 0.015433346348343879; -2.047471165351035E-5; 0.008958096680701919; 0.013685055667234823; 0; 2.40568; 4
8.0; -8.7875457529692E-5; 0.009320304432980481; 0.015433346348343879; 1.1419465946555472E-5; 0.008818124863812926; 0.013685055667234823; 0; 2.33037; 4
9.0; -8.331829193958007E-5; 0.009359197066088572; 0.015433346348343879; 1.6189966645658822E-5; 0.008858270045724006; 0.013685055667234823; 0; 2.367; 4
10.0; -9.127955716063752E-5; 0.009462124779286585; 0.015433346348343879; 8.074554445475984E-6; 0.008960105778198241; 0.013685055667234823; 0; 2.33678; 4
11.0; -1.1087090563726821E-4; 0.00962454946184821; 0.015433346348343879; -1.0405120026267635E-5; 0.00911869521799726; 0.013685055667234823; 0; 2.32474; 4
12.0; -1.1402349661324315E-4; 0.009662790126478795; 0.015433346348343879; -1.7375220740274992E-5; 0.009183855487530014; 0.013685055667234823; 0; 2.3482; 4
13.0; -1.296751367688415E-4; 0.009758907716652802; 0.015433346348343879; -3.021036208091033E-5; 0.009278000003180754; 0.013685055667234823; 0; 2.37273; 4
14.0; -1.1294239104011849E-4; 0.009719948091593631; 0.015433346348343879; -1.974765830346884E-5; 0.009253323647769443; 0.013685055667234823; 0; 2.38195; 4
15.0; -1.2994420535037768E-4; 0.00977636592651554; 0.015433346348343879; -3.471543473828204E-5; 0.009307385406203525; 0.013685055667234823; 0; 2.40001; 4
16.0; -1.2740980748871021E-4; 0.009802876696551383; 0.015433346348343879; -3.217235954280745E-5; 0.009337061853710998; 0.013685055667234823; 0; 2.37602; 4
17.0; -1.3194167339679514E-4; 0.009816310256175274; 0.015433346348343879; -3.6445581706166764E-5; 0.0093543936880085; 0.013685055667234823; 0; 2.35065; 4
18.0; -1.3034068682751663E-4; 0.00981179231078382; 0.015433346348343879; -3.860086980656893E-5; 0.009359525707586525; 0.013685055667234823; 0; 2.32598; 4
19.0; -1.2246675972141415E-4; 0.00980784930003792; 0.015433346348343879; -3.208751628998548E-5; 0.009355851717100688; 0.013685055667234823; 2; 2.30122; 4
20.0; -1.0651997961499257E-4; 0.009787148129263767; 0.015433346348343879; -2.1738851526174172E-5; 0.009338660425948062; 0.013685055667234823; 2; 2.36455; 4
21.0; -9.82281478010815E-5; 0.009773716316584065; 0.015433346348343879; -1.3790770361206975E-5; 0.009327231194823461; 0.013685055667234823; 2; 2.35255; 4
22.0; -1.027312451816638E-4; 0.009797683927894105; 0.015433346348343879; -1.6583562693712267E-5; 0.00935050722451438; 0.013685055667234823; 2; 2.35558; 4
23.0; -8.726221948497595E-5; 0.009768137843191933; 0.015433346348343879; -2.5796578356473624E-6; 0.00932437387866853; 0.013685055667234823; 2; 2.36321; 4
24.0; -9.002383590125356E-5; 0.009790252067314638; 0.015433346348343879; 2.0448626259673476E-7; 0.009334120268847975; 0.013685055667234823; 2; 2.36002; 4
25.0; -9.534389105672627E-5; 0.009811850658274425; 0.015433346348343879; -8.314799286549984E-7; 0.00933568192289796; 0.013685055667234823; 2; 2.36369; 4
26.0; -8.87767492137911E-5; 0.009800722079538403; 0.015433346348343879; 1.0169040103446294E-5; 0.009320431217857658; 0.013685055667234823; 2; 2.38213; 4
27.0; -9.008947165972652E-5; 0.00980821163382161; 0.015433346348343879; 7.698353469700622E-6; 0.009335002218004426; 0.013685055667234823; 2; 2.38651; 4
28.0; -8.512032178923949E-5; 0.009794885588055482; 0.015433346348343879; 9.694650977378264E-6; 0.009325930374682346; 0.013685055667234823; 2; 2.37544; 4
29.0; -8.413230351247072E-5; 0.00979810095173035; 0.015433346348343879; 1.5345296853276396E-5; 0.009315350409201346; 0.013685055667234823; 2; 2.37377; 4
30.0; -9.1692254432691E-5; 0.009828098199941265; 0.015433346348343879; 4.168642334582369E-6; 0.009350871586865416; 0.013685055667234823; 2; 2.3787; 4
31.0; -1.007563986722012E-4; 0.009857058105774372; 0.015433346348343879; -6.312313087760958E-6; 0.009385221518980788; 0.013685055667234823; 2; 2.38816; 4
32.0; -1.0394854968019377E-4; 0.009874414156520706; 0.015433346348343879; -8.291876470104723E-6; 0.009403422439900637; 0.013685055667234823; 2; 2.39351; 4
33.0; -1.0999430916663169E-4; 0.009872804946056198; 0.015433346348343879; -1.3543180330378287E-5; 0.00940770816615375; 0.013685055667234823; 2; 2.32213; 4
34.0; -1.1833177170760123E-4; 0.00988124045602933; 0.015433346348343879; -2.119238003089704E-5; 0.009418799634400551; 0.013685055667234823; 2; 2.35166; 4
35.0; -1.3460273238745575E-4; 0.009899060426502322; 0.015433346348343879; -3.676259874404309E-5; 0.009438507827094772; 0.013685055667234823; 2; 2.36345; 4
36.0; -1.3424790399668154E-4; 0.009905011560483477; 0.015433346348343879; -3.613388915579845E-5; 0.009439044107655902; 0.013685055667234823; 2; 2.35097; 4
37.0; -1.322291588773437E-4; 0.009898595221579903; 0.015433346348343879; -3.066274376914929E-5; 0.009427095492695306; 0.013685055667234823; 2; 2.34636; 4
38.0; -1.28134805244854E-4; 0.009898081593846385; 0.015433346348343879; -2.9222318055870157E-5; 0.00943278257025405; 0.013685055667234823; 2; 2.36315; 4
39.0; -1.3399909576674308E-4; 0.009913997529118347; 0.015433346348343879; -3.509596065595205E-5; 0.00944599917561093; 0.013685055667234823; 2; 2.35735; 4
40.0; -1.1814355513376735E-4; 0.009899156338621819; 0.015433346348343879; -1.9047983337304483E-5; 0.009425565349632566; 0.013685055667234823; 2; 2.36058; 4
42.0; -1.1259624575490009E-4; 0.009885221887124812; 0.015433346348343879; -1.618667165049366E-5; 0.009419065817682886; 0.013685055667234823; 2; 2.37708; 4
44.0; -1.1135950350074255E-4; 0.009876297118784854; 0.015433346348343879; -1.438042294413436E-5; 0.009410353761117615; 0.013685055667234823; 2; 2.3824; 4
46.0; -1.1551472439153741E-4; 0.009883248449382603; 0.015433346348343879; -1.7428729012854827E-5; 0.009420274156632085; 0.013685055667234823; 2; 2.38713; 4
48.0; -1.3170745194853204E-4; 0.009907966742361165; 0.015433346348343879; -3.252376894011138E-5; 0.009445012013387103; 0.013685055667234823; 2; 2.39694; 4
50.0; -1.310246793981936E-4; 0.009924603793503484; 0.015433346348343879; -2.9806850496906777E-5; 0.009452812652247216; 0.013685055667234823; 2; 2.41658; 4
52.0; -1.226432982051866E-4; 0.009915040841801524; 0.015433346348343879; -2.7209514439611105E-5; 0.009447326573207092; 0.013685055667234823; 2; 2.43581; 4
54.0; -1.3815563597791472E-4; 0.009914570916196429; 0.015433346348343879; -3.853174572804714E-5; 0.009445413152258109; 0.013685055667234823; 2; 2.44356; 4
56.0; -1.362669383652768E-4; 0.009903738422617733; 0.015433346348343879; -3.70739497128616E-5; 0.009432654555447645; 0.013685055667234823; 2; 2.45279; 4
58.0; -1.3652828815677475E-4; 0.009909330212967013; 0.015433346348343879; -3.895420220981312E-5; 0.009437903761015923; 0.013685055667234823; 2; 2.47617; 4
60.0; -1.329707850969853E-4; 0.00991798533972995; 0.015433346348343879; -3.4071333652700615E-5; 0.009451309254074565; 0.013685055667234823; 2; 2.49718; 4
62.0; -1.2387442626739101E-4; 0.009914625004234678; 0.015433346348343879; -2.7485967427752096E-5; 0.00944817154663941; 0.013685055667234823; 2; 2.51192; 4
65.0; -1.228898657541157E-4; 0.009932775118866744; 0.015433346348343879; -2.739506139006632E-5; 0.009466602508799849; 0.013685055667234823; 2; 2.49465; 4
68.0; -1.0820635756634837E-4; 0.009928166749094075; 0.015433346348343879; -1.513091966048771E-5; 0.009464475608123097; 0.013685055667234823; 2; 2.51201; 4
71.0; -1.0027861105564255E-4; 0.009920369737676587; 0.015433346348343879; -9.256752296861627E-6; 0.00945500837792731; 0.013685055667234823; 2; 2.56335; 4
74.0; -1.0398030646483387E-4; 0.009922454689033553; 0.015433346348343879; -9.328838228952938E-6; 0.009461998369869528; 0.013685055667234823; 2; 2.62697; 4
77.0; -8.181353044298547E-5; 0.009914574486284076; 0.015433346348343879; 1.3490921709774337E-5; 0.009462975622729873; 0.013685055667234823; 2; 2.70618; 4
80.0; -8.368038250792106E-5; 0.009908177924440958; 0.015433346348343879; 8.687141587730684E-6; 0.009458083692455422; 0.013685055667234823; 2; 2.78472; 4
84.0; -1.0122888721463297E-4; 0.009918349217610152; 0.015433346348343879; -5.6843899732069624E-6; 0.009471735881077147; 0.013685055667234823; 2; 2.89197; 4
88.0; -1.0834620993705547E-4; 0.009922893322540632; 0.015433346348343879; -9.753932744460013E-6; 0.009469020989329627; 0.013685055667234823; 2; 2.9785; 4
92.0; -1.1422490288434088E-4; 0.009936875454351278; 0.015433346348343879; -1.3644129597057176E-5; 0.009482108158548955; 0.013685055667234823; 2; 3.04012; 4
96.0; -1.1050545399717624E-4; 0.009955432842736759; 0.015433346348343879; -1.1787227967883753E-5; 0.009494177430541784; 0.013685055667234823; 2; 3.08477; 4
100.0; -1.1289874048828302E-4; 0.009949948879206692; 0.015433346348343879; -1.375483809866633E-5; 0.00948752983133162; 0.013685055667234823; 2; 3.12572; 4
105.0; -1.2806786380667028E-4; 0.009968123485873275; 0.015433346348343879; -2.8580593201663467E-5; 0.009509595809117045; 0.013685055667234823; 2; 3.18319; 4
110.0; -1.2468218919598075E-4; 0.009963178468614864; 0.015433346348343879; -2.2155877989489587E-5; 0.009503949642531522; 0.013685055667234823; 3; 3.26349; 4
115.0; -1.2084635595273856E-4; 0.009977223585442794; 0.015433346348343879; -1.830965993975612E-5; 0.009514366363181691; 0.013685055667234823; 3; 3.3665; 4
120.0; -1.1291422428957046E-4; 0.009976123145381023; 0.015433346348343879; -9.80922528243787E-6; 0.00951286427399147; 0.013685055667234823; 3; 3.47207; 4
125.0; -1.0462620251395351E-4; 0.009978114415368902; 0.015433346348343879; -5.125868439663042E-6; 0.009514809671674417; 0.013685055667234823; 3; 3.39733; 4
131.0; -1.2448898647011118E-4; 0.009988482963118406; 0.015433346348343879; -2.8166047622110175E-5; 0.009526455102380137; 0.013685055667234823; 3; 3.43098; 4
137.0; -1.2521457049608222E-4; 0.009988244270940397; 0.015433346348343879; -2.7566322815587792E-5; 0.009518628403797674; 0.013685055667234823; 3; 3.33752; 4
143.0; -1.31173782303915E-4; 0.009978130763621914; 0.015433346348343879; -3.061059596907907E-5; 0.009516637587982348; 0.013685055667234823; 3; 3.16594; 5
150.0; -1.299379203057694E-4; 0.009978860155291308; 0.015433346348343879; -3.459944124782548E-5; 0.009523903828110135; 0.013685055667234823; 3; 3.34915; 5
157.0; -1.2328754273171097E-4; 0.009975581886196837; 0.015433346348343879; -2.8517961902197273E-5; 0.009518344123534384; 0.013685055667234823; 3; 3.38276; 5
164.0; -1.2293174959723872E-4; 0.009971708673698813; 0.015433346348343879; -2.826957996010085E-5; 0.0095107533632918; 0.013685055667234823; 3; 3.34401; 5
172.0; -1.2141553111173151E-4; 0.009979603119073182; 0.015433346348343879; -3.126855722693959E-5; 0.009521715835477796; 0.013685055667234823; 3; 3.36324; 5
180.0; -1.23528849639696E-4; 0.00999375472381367; 0.015433346348343879; -3.046062657484499E-5; 0.009531405356922242; 0.013685055667234823; 3; 3.37815; 5
188.0; -1.1664140967485969E-4; 0.009995630330599017; 0.015433346348343879; -2.1862360626240182E-5; 0.009527130188058033; 0.013685055667234823; 3; 3.39136; 5
197.0; -1.0492709944428509E-4; 0.009995849275836195; 0.015433346348343879; -7.83736900771525E-6; 0.009525985832893664; 0.013685055667234823; 3; 3.39478; 5
206.0; -9.913788694107402E-5; 0.010003227478387377; 0.015433346348343879; 1.1623247554056066E-6; 0.00952617668047258; 0.013685055667234823; 3; 3.40864; 5
216.0; -9.657581858010541E-5; 0.010002441879478506; 0.015433346348343879; -2.1772242504552886E-8; 0.009526301201516527; 0.013685055667234823; 3; 3.41234; 5
226.0; -9.256900882661835E-5; 0.010011348508760653; 0.015433346348343879; 5.5681450104492295E-6; 0.00953719994449248; 0.013685055667234823; 3; 3.42611; 5
237.0; -1.0384351351813352E-4; 0.0100220394975916; 0.015433346348343879; -2.907901930042901E-6; 0.009549163308870746; 0.013685055667234823; 3; 3.43171; 5
248.0; -9.791312918423427E-5; 0.01002836966260597; 0.015433346348343879; 3.728538775393218E-7; 0.009556535864751015; 0.013685055667234823; 3; 3.44191; 5
260.0; -9.397159571154391E-5; 0.010019402372135467; 0.015433346348343879; 4.084912309337083E-6; 0.009547539921757928; 0.013685055667234823; 3; 3.43101; 5
273.0; -9.01991537608537E-5; 0.010018533991956804; 0.015433346348343879; 1.3850530299799045E-6; 0.009550839097689957; 0.013685055667234823; 3; 3.37271; 5
286.0; -8.509446348020453E-5; 0.010028416908061439; 0.015433346348343879; 1.0045861724467932E-5; 0.009552173286089014; 0.013685055667234823; 3; 3.3782; 5
300.0; -8.818978068132568E-5; 0.010039897768068223; 0.015433346348343879; 2.949787379293806E-6; 0.009570741986642163; 0.013685055667234823; 3; 3.38293; 5
314.0; -9.611460195665814E-5; 0.010047814134502023; 0.015433346348343879; 4.0260793637422815E-8; 0.009578338030191041; 0.013685055667234823; 3; 3.39402; 5
329.0; -1.0393090557737097E-4; 0.010056797900567406; 0.015433346348343879; -8.74460232075734E-6; 0.009593383307659945; 0.013685055667234823; 3; 3.39944; 5
345.0; -9.383161651269616E-5; 0.010058727206299339; 0.015433346348343879; -2.3385118265729556E-6; 0.009595251086436352; 0.013685055667234823; 3; 3.40857; 5
362.0; -1.0004223814049136E-4; 0.010064292938184774; 0.015433346348343879; -1.0766124863487659E-5; 0.009601383221917812; 0.013685055667234823; 3; 3.41205; 5
380.0; -9.810764623180297E-5; 0.010065786186207926; 0.015433346348343879; -6.891051655767204E-6; 0.009602449383523283; 0.013685055667234823; 3; 3.42505; 5
398.0; -1.0204210889015241E-4; 0.01007942251978795; 0.015433346348343879; -1.0715312350028603E-5; 0.009603774151490035; 0.013685055667234823; 3; 3.43037; 5
417.0; -1.0766885028715392E-4; 0.01007242936483178; 0.015433346348343879; -1.547740914371129E-5; 0.009593147163433992; 0.013685055667234823; 3; 3.44297; 5
