sketch_name=exaloglog; t=2; d=24; p=4; num_cycles=100000; large_scale_simulation_mode_distinct_count_limit=1000000
distinct count; relative bias maximum likelihood; relative rmse maximum likelihood; theoretical relative standard error maximum likelihood; relative bias martingale; relative rmse martingale; theoretical relative standard error martingale; min num iterations; mean num iterations; max num iterations
1.0; -0.002590057379075166; 0.005177299872837399; 0.08593959669363765; 0.0; 0.0; 0.07656636660954019; 0; 0.0; 0
2.0; -0.0026360214239460294; 0.039835876113977355; 0.08593959669363765; -5.0020317391230396E-5; 0.03816188958479251; 0.07656636660954019; 0; 1.64323; 4
3.0; -0.002809248354912641; 0.046307393757638565; 0.08593959669363765; -1.683548994567353E-4; 0.04437501039698972; 0.07656636660954019; 0; 2.43937; 4
4.0; -0.0026655817020832164; 0.0484480927122912; 0.08593959669363765; -6.874510766432534E-5; 0.04657824475343826; 0.07656636660954019; 0; 3.07318; 5
5.0; -0.0026346337025267845; 0.049731918939316846; 0.08593959669363765; -2.9967665874837104E-5; 0.047885938095270905; 0.07656636660954019; 0; 3.06562; 5
6.0; -0.0026278596767938065; 0.05092294501055462; 0.08593959669363765; -4.733456864734062E-5; 0.04898004486593841; 0.07656636660954019; 0; 3.22066; 5
7.0; -0.0025358489475117434; 0.05151585583114087; 0.08593959669363765; 1.5960607426917884E-5; 0.04953319118118495; 0.07656636660954019; 0; 3.28993; 5
8.0; -0.0023815015368077517; 0.05187100158914412; 0.08593959669363765; 1.3696451088907497E-4; 0.049936105035866665; 0.07656636660954019; 0; 3.33146; 5
9.0; -0.0022396088215254724; 0.052242176702490956; 0.08593959669363765; 2.5373056980477766E-4; 0.05031016573976297; 0.07656636660954019; 0; 3.27258; 5
10.0; -0.0022077239214100424; 0.052617438891898495; 0.08593959669363765; 2.80713769553227E-4; 0.05071685858197208; 0.07656636660954019; 0; 3.27485; 5
11.0; -0.0022530126564701334; 0.05293695488252039; 0.08593959669363765; 2.328120007505148E-4; 0.05104880132210563; 0.07656636660954019; 0; 3.30414; 5
12.0; -0.0023046597169555463; 0.05322691625552082; 0.08593959669363765; 1.8163345034283E-4; 0.051327102062756945; 0.07656636660954019; 0; 3.33793; 5
13.0; -0.002361445553556714; 0.053499804543662315; 0.08593959669363765; 1.384067087598531E-4; 0.05154600217453331; 0.07656636660954019; 0; 3.34287; 5
14.0; -0.002332613109244903; 0.053646387971690246; 0.08593959669363765; 2.0944387294462302E-4; 0.05168768636009096; 0.07656636660954019; 0; 3.37779; 5
15.0; -0.002290564942789416; 0.05391009085578878; 0.08593959669363765; 2.2977928907154098E-4; 0.0519519473701105; 0.07656636660954019; 0; 3.3777; 5
16.0; -0.0023062809693782174; 0.05417661514973788; 0.08593959669363765; 2.0246617749009973E-4; 0.052174046209874196; 0.07656636660954019; 0; 3.37726; 5
17.0; -0.0023088111436934153; 0.05447498925875893; 0.08593959669363765; 1.997980309950472E-4; 0.05240422700884241; 0.07656636660954019; 3; 3.36549; 5
18.0; -0.002376407479985167; 0.05472959160828286; 0.08593959669363765; 1.576990460454949E-4; 0.05257824746920805; 0.07656636660954019; 3; 3.3655; 5
19.0; -0.00237268425338771; 0.05485021916054732; 0.08593959669363765; 1.5522020767740896E-4; 0.052702293301321944; 0.07656636660954019; 3; 3.35813; 5
20.0; -0.0024585196648334324; 0.05504999716585022; 0.08593959669363765; 3.815190644963034E-5; 0.0528837772775155; 0.07656636660954019; 3; 3.35628; 5
21.0; -0.0023272333951680894; 0.05507613564146683; 0.08593959669363765; 1.394368213037239E-4; 0.05288222528085847; 0.07656636660954019; 3; 3.36774; 5
22.0; -0.0023546901683221292; 0.0552194394857416; 0.08593959669363765; 1.1064961190676128E-4; 0.05294613430926922; 0.07656636660954019; 3; 3.37646; 5
23.0; -0.0023311507177392293; 0.05536150538366603; 0.08593959669363765; 1.0753049952857436E-4; 0.0530713261347882; 0.07656636660954019; 3; 3.3901; 5
24.0; -0.002287243846518816; 0.055322640601097824; 0.08593959669363765; 1.4397757580787612E-4; 0.05306180360032844; 0.07656636660954019; 3; 3.39765; 5
25.0; -0.0022697321842543804; 0.055445638138519035; 0.08593959669363765; 1.4758198088448614E-4; 0.053155814580387394; 0.07656636660954019; 3; 3.40923; 5
26.0; -0.002181730189906444; 0.05549056665607791; 0.08593959669363765; 2.441450553712945E-4; 0.05318660815367114; 0.07656636660954019; 3; 3.41584; 5
27.0; -0.0021840414530831897; 0.055570001789106614; 0.08593959669363765; 2.280832940304745E-4; 0.05324796565998602; 0.07656636660954019; 3; 3.42466; 5
28.0; -0.002077261970211561; 0.055592984126474364; 0.08593959669363765; 3.385496826733943E-4; 0.05323735778412673; 0.07656636660954019; 3; 3.4296; 5
29.0; -0.0020268067421999342; 0.0556954030479808; 0.08593959669363765; 3.9898990715332597E-4; 0.05331851693585073; 0.07656636660954019; 3; 3.43147; 5
30.0; -0.0020563355972005675; 0.05574976530046913; 0.08593959669363765; 3.561912444718488E-4; 0.05336325802001118; 0.07656636660954019; 3; 3.43267; 5
31.0; -0.002089745455662181; 0.05579368181546464; 0.08593959669363765; 2.899239117183752E-4; 0.05339745461171265; 0.07656636660954019; 3; 3.43786; 5
32.0; -0.0020902821028803303; 0.055863100951618797; 0.08593959669363765; 2.680408689770388E-4; 0.05347464538367854; 0.07656636660954019; 3; 3.43435; 5
33.0; -0.0021625354967492053; 0.05596927704995277; 0.08593959669363765; 2.0645368792461346E-4; 0.05355414304630431; 0.07656636660954019; 3; 3.43883; 5
34.0; -0.002125514982518775; 0.05598725180837585; 0.08593959669363765; 2.1138076384303263E-4; 0.053627428423011984; 0.07656636660954019; 3; 3.43779; 5
35.0; -0.0020600347099140773; 0.05605441383899664; 0.08593959669363765; 2.7883422525547047E-4; 0.05367559582781238; 0.07656636660954019; 3; 3.44012; 5
36.0; -0.0020373188287503233; 0.05611214782610319; 0.08593959669363765; 3.006832281477205E-4; 0.053721902820293155; 0.07656636660954019; 3; 3.44207; 5
37.0; -0.0020625951403125784; 0.056194896016107; 0.08593959669363765; 2.8213218160069584E-4; 0.05382273950002625; 0.07656636660954019; 3; 3.43879; 5
38.0; -0.001997183572390979; 0.056315611504670314; 0.08593959669363765; 3.2953784502115193E-4; 0.05391119299298379; 0.07656636660954019; 3; 3.43017; 5
39.0; -0.0020709892985203474; 0.05646100416060619; 0.08593959669363765; 2.527616634626607E-4; 0.05403164767412553; 0.07656636660954019; 3; 3.42389; 5
40.0; -0.002110684383077652; 0.05651485109667703; 0.08593959669363765; 2.0918509203804287E-4; 0.05406777992105599; 0.07656636660954019; 3; 3.42098; 5
42.0; -0.0021397355732495423; 0.05669141848377871; 0.08593959669363765; 1.6230383397219621E-4; 0.054171041743786175; 0.07656636660954019; 3; 3.41301; 5
44.0; -0.0021007989698296234; 0.05679934382279068; 0.08593959669363765; 1.9770096521933356E-4; 0.05424772045956184; 0.07656636660954019; 3; 3.411; 5
46.0; -0.002032482024561413; 0.056951447693921964; 0.08593959669363765; 2.487924200992682E-4; 0.054388531330038764; 0.07656636660954019; 3; 3.41891; 5
48.0; -0.002069022276401713; 0.057055098835446884; 0.08593959669363765; 2.2719456539772886E-4; 0.05447795151824345; 0.07656636660954019; 3; 3.42989; 6
50.0; -0.00207883382139046; 0.057160599656948474; 0.08593959669363765; 2.1730463605523952E-4; 0.05460212703523459; 0.07656636660954019; 3; 3.43247; 5
52.0; -0.002114693671612813; 0.05733592491247273; 0.08593959669363765; 1.6185894938134637E-4; 0.054767352376590216; 0.07656636660954019; 3; 3.44545; 5
54.0; -0.00206852965034087; 0.05748935379209125; 0.08593959669363765; 1.772709899097276E-4; 0.05489089535554772; 0.07656636660954019; 3; 3.46282; 6
56.0; -0.0020490129096611175; 0.057605098919442765; 0.08593959669363765; 1.847380094205753E-4; 0.054992740277489606; 0.07656636660954019; 3; 3.47803; 6
58.0; -0.002146634432193368; 0.05767121090526662; 0.08593959669363765; 9.28623078875891E-5; 0.055022141685782414; 0.07656636660954019; 3; 3.50546; 6
60.0; -0.0022083720249733716; 0.05777939750005655; 0.08593959669363765; 4.795119177421966E-6; 0.05510749207902064; 0.07656636660954019; 3; 3.544; 6
62.0; -0.002146907553949445; 0.05785983557840997; 0.08593959669363765; 6.070605122210441E-5; 0.05514481390112623; 0.07656636660954019; 3; 3.58942; 6
65.0; -0.002076433211544586; 0.058064673564903614; 0.08593959669363765; 1.0566272717340543E-4; 0.05533638140097901; 0.07656636660954019; 3; 3.69561; 6
68.0; -0.0021222759491220607; 0.05816455123394525; 0.08593959669363765; 7.41912586391341E-5; 0.05540494789756026; 0.07656636660954019; 3; 3.85389; 6
71.0; -0.0021143116634409153; 0.058371445535146754; 0.08593959669363765; 5.436349216592386E-5; 0.05558582629489509; 0.07656636660954019; 3; 4.03925; 6
74.0; -0.002066293533011559; 0.05847252328068135; 0.08593959669363765; 6.698921391063173E-5; 0.05566945195476116; 0.07656636660954019; 3; 4.20483; 6
77.0; -0.002061406320185105; 0.05855515153900243; 0.08593959669363765; 3.6460205064579446E-5; 0.0557298536867808; 0.07656636660954019; 3; 4.32735; 6
