sketch_name=exaloglog; t=2; d=16; p=10; num_cycles=100000; large_scale_simulation_mode_distinct_count_limit=1000000
distinct count; relative bias maximum likelihood; relative rmse maximum likelihood; theoretical relative standard error maximum likelihood; relative bias martingale; relative rmse martingale; theoretical relative standard error martingale; min num iterations; mean num iterations; max num iterations
1.0; -6.207585867027745E-5; 1.4110088617266673E-4; 0.012409020623083866; 0.0; 0.0; 0.010609545332780178; 0; 0.0; 0
2.0; -6.280276115167058E-5; 0.005917940287431473; 0.012409020623083866; -1.0112580479349003E-5; 0.005701475506238775; 0.010609545332780178; 0; 1.80217; 3
3.0; -4.758598193145628E-5; 0.006411705488681088; 0.012409020623083866; 1.3188152593068404E-5; 0.005676629208479938; 0.010609545332780178; 0; 1.84335; 3
4.0; -6.304218491234948E-5; 0.007200933298384902; 0.012409020623083866; -7.858955630744406E-6; 0.006565931159074262; 0.010609545332780178; 0; 2.07125; 3
5.0; -4.127478701464845E-5; 0.007124643117143439; 0.012409020623083866; 2.139719442492167E-5; 0.006291392892354262; 0.010609545332780178; 0; 2.31698; 3
6.0; -1.8729098629391082E-5; 0.007066515346755134; 0.012409020623083866; 4.072607924297442E-5; 0.006234201074032139; 0.010609545332780178; 0; 2.2587; 4
7.0; -2.3945321168512858E-5; 0.007303784024280232; 0.012409020623083866; 3.581602248289699E-5; 0.006464475781224785; 0.010609545332780178; 0; 2.27386; 4
8.0; -4.095537973160162E-5; 0.007569230559883692; 0.012409020623083866; 2.0847126731764926E-5; 0.006724737301116893; 0.010609545332780178; 0; 2.31639; 4
9.0; -5.35825155422694E-5; 0.0077506044674343156; 0.012409020623083866; 1.1353750386804119E-5; 0.006893287612766371; 0.010609545332780178; 0; 2.28204; 4
10.0; -3.771112134140259E-5; 0.007710151774574193; 0.012409020623083866; 2.3687472847517308E-5; 0.0068650321750132305; 0.010609545332780178; 0; 2.33681; 4
11.0; -4.2035532036094976E-5; 0.007807035395546563; 0.012409020623083866; 2.461831881936706E-5; 0.006913318604534726; 0.010609545332780178; 0; 2.32405; 4
12.0; -4.577427239465087E-5; 0.007863122748286896; 0.012409020623083866; 1.944943346624654E-5; 0.006987231918879913; 0.010609545332780178; 0; 2.36873; 4
13.0; -6.540633949499684E-5; 0.007980951476266467; 0.012409020623083866; 8.04035621460176E-6; 0.007079551697386931; 0.010609545332780178; 0; 2.38091; 4
14.0; -6.761777417127351E-5; 0.008012701655891144; 0.012409020623083866; 2.4716496284212564E-6; 0.0071274513075127235; 0.010609545332780178; 0; 2.38683; 4
15.0; -4.479458904253457E-5; 0.0079568237600086; 0.012409020623083866; 1.9634101396314463E-5; 0.007069180085238049; 0.010609545332780178; 0; 2.43276; 4
16.0; -5.982435540228071E-5; 0.008038028094626259; 0.012409020623083866; 4.528994581161041E-6; 0.007160232525678802; 0.010609545332780178; 0; 2.40491; 4
17.0; -5.080079280410941E-5; 0.008017600983433315; 0.012409020623083866; 1.17783083255903E-5; 0.0071484884991589144; 0.010609545332780178; 2; 2.32673; 4
18.0; -4.196241785602213E-5; 0.008005534240805766; 0.012409020623083866; 1.483364446732916E-5; 0.007151273538815004; 0.010609545332780178; 2; 2.3235; 4
19.0; -4.020246769278646E-5; 0.008020393574577138; 0.012409020623083866; 1.327292001660728E-5; 0.007160419771347794; 0.010609545332780178; 2; 2.32945; 4
20.0; -4.69140017873488E-5; 0.008059092644249624; 0.012409020623083866; 5.308563666683499E-6; 0.0072022075284607105; 0.010609545332780178; 2; 2.37612; 4
21.0; -4.923403355359972E-5; 0.00806833931656053; 0.012409020623083866; 7.639988243720678E-6; 0.007198960055277455; 0.010609545332780178; 2; 2.34438; 4
22.0; -4.530976949407809E-5; 0.008055992423192474; 0.012409020623083866; 1.1089167977131426E-5; 0.007190499275298218; 0.010609545332780178; 2; 2.35589; 4
23.0; -4.714939241891739E-5; 0.008067695733289516; 0.012409020623083866; 6.337087220134122E-6; 0.007207978809311131; 0.010609545332780178; 2; 2.35719; 4
24.0; -5.146015693853323E-5; 0.008088151991432506; 0.012409020623083866; 1.9556943231581457E-6; 0.007235795392817217; 0.010609545332780178; 2; 2.36745; 4
25.0; -5.3626739678377906E-5; 0.00809936005241172; 0.012409020623083866; 6.667497020989914E-7; 0.007242806393324756; 0.010609545332780178; 2; 2.37056; 4
26.0; -5.804159842840929E-5; 0.008112623883678251; 0.012409020623083866; -9.216026237538112E-7; 0.007251014977719971; 0.010609545332780178; 2; 2.36102; 4
27.0; -6.756677278113875E-5; 0.00813705718246256; 0.012409020623083866; -1.245563466360883E-5; 0.007283434607611764; 0.010609545332780178; 2; 2.37107; 4
28.0; -6.942689957107957E-5; 0.00814744785811273; 0.012409020623083866; -1.175518564791796E-5; 0.007287683164190088; 0.010609545332780178; 2; 2.37269; 4
29.0; -6.393897010024381E-5; 0.008135640051885001; 0.012409020623083866; -8.405100921511531E-6; 0.007279369447173229; 0.010609545332780178; 2; 2.38255; 4
30.0; -6.927294096205121E-5; 0.008156149286659736; 0.012409020623083866; -9.66387580212972E-6; 0.007282809369504192; 0.010609545332780178; 2; 2.38606; 4
31.0; -6.0925179087885916E-5; 0.008140995280565175; 0.012409020623083866; -5.700284092732853E-6; 0.007273320486327838; 0.010609545332780178; 2; 2.39622; 4
32.0; -6.189784464922591E-5; 0.0081398178586258; 0.012409020623083866; -5.145425304091621E-6; 0.0072749776562878515; 0.010609545332780178; 2; 2.40898; 4
33.0; -5.991617203704532E-5; 0.008152634269610595; 0.012409020623083866; -3.4249348410168345E-6; 0.007276222657257884; 0.010609545332780178; 2; 2.33746; 4
34.0; -5.764907686318456E-5; 0.008151631769405768; 0.012409020623083866; -7.139251605384942E-6; 0.007288143498757007; 0.010609545332780178; 2; 2.33921; 4
35.0; -5.4376696183742744E-5; 0.008152455872128542; 0.012409020623083866; -6.100005884770456E-6; 0.007291252522458616; 0.010609545332780178; 2; 2.33136; 4
36.0; -7.202963820318074E-5; 0.00817862072368769; 0.012409020623083866; -1.7675127659421536E-5; 0.007306137935821861; 0.010609545332780178; 2; 2.34493; 4
37.0; -8.238936067117522E-5; 0.008196626844711336; 0.012409020623083866; -2.5420349966244312E-5; 0.007324827139749804; 0.010609545332780178; 2; 2.34875; 4
38.0; -7.612456425052362E-5; 0.008193673235327855; 0.012409020623083866; -1.5603810275233773E-5; 0.0073160960618397245; 0.010609545332780178; 2; 2.34977; 4
39.0; -7.126677307617055E-5; 0.008195524719144042; 0.012409020623083866; -8.377569085115926E-6; 0.007304236551804151; 0.010609545332780178; 2; 2.35429; 4
40.0; -7.216623435114554E-5; 0.008202266383284595; 0.012409020623083866; -8.078802130940736E-6; 0.007312602665076083; 0.010609545332780178; 2; 2.35647; 4
42.0; -6.821523871915566E-5; 0.008196675988112037; 0.012409020623083866; -5.711589708828506E-6; 0.007311972977343711; 0.010609545332780178; 2; 2.37037; 4
44.0; -6.819628824896068E-5; 0.00820929998225224; 0.012409020623083866; -6.6242626505609316E-6; 0.007320338058763782; 0.010609545332780178; 2; 2.36882; 4
46.0; -7.240418764134378E-5; 0.008226499822482195; 0.012409020623083866; -9.053957862618305E-6; 0.007330200922331843; 0.010609545332780178; 2; 2.37247; 4
48.0; -6.652248528038228E-5; 0.008222592001314298; 0.012409020623083866; -3.4138677168786885E-6; 0.00732298733181665; 0.010609545332780178; 2; 2.37907; 4
50.0; -7.182661260834652E-5; 0.008227833044219347; 0.012409020623083866; -8.566492523751076E-6; 0.007333067388073121; 0.010609545332780178; 2; 2.38655; 4
52.0; -6.25186959660794E-5; 0.008217115149505782; 0.012409020623083866; 2.22918194257821E-6; 0.007315382282862548; 0.010609545332780178; 2; 2.39309; 4
54.0; -5.643879122578482E-5; 0.008217779016119106; 0.012409020623083866; 8.033200582056841E-6; 0.0073234223324807465; 0.010609545332780178; 2; 2.39766; 4
56.0; -6.677870727603669E-5; 0.008230429320124846; 0.012409020623083866; 2.3460995025239318E-6; 0.007329296151997835; 0.010609545332780178; 2; 2.40341; 4
58.0; -6.234244775225794E-5; 0.008239360516672593; 0.012409020623083866; 9.794763736214375E-6; 0.007333155018954333; 0.010609545332780178; 2; 2.40195; 4
60.0; -6.986781184532121E-5; 0.008245616625622555; 0.012409020623083866; -1.6372942346051585E-6; 0.007346893982163387; 0.010609545332780178; 2; 2.40964; 4
62.0; -5.840449831885163E-5; 0.008233688229214187; 0.012409020623083866; 9.010539984343159E-6; 0.007337431707335392; 0.010609545332780178; 2; 2.41418; 4
65.0; -5.175000147338768E-5; 0.008223003955096873; 0.012409020623083866; 1.6451272517840263E-5; 0.007333535015235356; 0.010609545332780178; 2; 2.36476; 4
68.0; -6.634395146438238E-5; 0.00824193208438079; 0.012409020623083866; 9.361391597006047E-6; 0.00734290819107463; 0.010609545332780178; 2; 2.35556; 4
71.0; -5.982323033951134E-5; 0.008226798484223334; 0.012409020623083866; 1.2191881434407397E-5; 0.007335183267805097; 0.010609545332780178; 2; 2.36006; 4
74.0; -5.1229025659188025E-5; 0.008220486186162048; 0.012409020623083866; 1.87216282575998E-5; 0.007330147862113156; 0.010609545332780178; 2; 2.36999; 4
77.0; -4.856910139282701E-5; 0.008234738658663808; 0.012409020623083866; 1.9706806762514423E-5; 0.007342228164817246; 0.010609545332780178; 2; 2.37615; 4
80.0; -5.0828796982289316E-5; 0.008248622503786555; 0.012409020623083866; 1.6161093751749382E-5; 0.007351475904770773; 0.010609545332780178; 2; 2.38182; 4
84.0; -5.8268597162390356E-5; 0.008270558877617504; 0.012409020623083866; 1.113101402678972E-5; 0.007361192989766896; 0.010609545332780178; 2; 2.38678; 4
88.0; -6.501330011596765E-5; 0.008274213568896611; 0.012409020623083866; 2.2125687338085452E-6; 0.007360092100675331; 0.010609545332780178; 2; 2.39687; 4
