number of cycles = 1000000; data structure = ExaLogLog (t = 2, d = 24, p = 8)
true distinct count; minimum memory size; average memory size; maximum memory size; standard deviation memory size; minimum serialization size; average serialization size; maximum serialization size; standard deviation serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -1.6520932928062567E-4; 3.141676931921518E-4; 8.401458013616114E-4; 8.085613727389945E-4
2; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -1.599218794773029E-4; 0.009636448743066935; 0.7904340609434615; 0.7607184947425796
5; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -1.4656056360001841E-4; 0.012203839062669834; 1.267723551128553; 1.2200647710109382
10; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -1.5455938593844298E-4; 0.013060858233499084; 1.452028183475814; 1.3974406577812344
20; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -1.5610466720142742E-4; 0.013460955096792415; 1.542351520747239; 1.4843683808695234
50; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -1.5589727732941939E-4; 0.013708406372087575; 1.599578489592623; 1.53944395990869
100; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -1.59537317395273E-4; 0.013816138238462325; 1.6248188726164488; 1.5637354563526726
200; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -1.4732819436815575E-4; 0.013903019598365008; 1.645318136043863; 1.583464070779056
500; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -1.3509721171715307E-4; 0.014132866659178293; 1.7001691750920371; 1.6362530406900808
1000; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -1.2972000429166785E-4; 0.014501388925167653; 1.7899908698203957; 1.7226979799775237
2000; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -9.642880665753771E-5; 0.015195227957180294; 1.9653778371327735; 1.891491452278158
5000; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; 5.4916530202158245E-6; 0.01709966985409947; 2.488897812022615; 2.3953302251044715
10000; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; 1.0480373654650179E-5; 0.019102252853606054; 3.1059952974753533; 2.9892285569687607
20000; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; 5.264948264301523E-6; 0.020332064441727693; 3.518799892065376; 3.3865141818373536
50000; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; -8.964917606009042E-6; 0.021067168422650603; 3.7778433824849578; 3.6358191951734926
100000; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; 5.696854248491039E-6; 0.021313728790706872; 3.8667890976119255; 3.7214210864235073
200000; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; 4.398124319431484E-6; 0.021426044926442667; 3.9076498149287655; 3.7607456865479847
500000; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; 7.190072595907691E-6; 0.021496337818084254; 3.9333316969832652; 3.7854620843147213
1000000; 1064; 1064.0; 1064; 0.0; 1024; 1024.0; 1024; 0.0; 2.3558659523443258E-5; 0.021499589837998833; 3.9345218755769786; 3.78660751935228
