number of cycles = 1000000; data structure = Apache Data Sketches Java HLL8 (p = 11)
true distinct count; minimum memory size; average memory size; maximum memory size; standard deviation memory size; minimum serialization size; average serialization size; maximum serialization size; standard deviation serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 248; 248.0; 248; 0.0; 12; 12.0; 12; 0.0; 0.0; 0.0; 0.0; 0.0
2; 248; 248.0; 248; 0.0; 16; 16.0; 16; 0.0; 2.4835269396561444E-9; 2.483526939631809E-9; 1.2237125622795848E-14; 7.894919756642483E-16
5; 248; 248.0; 248; 0.0; 28; 28.0; 28; 0.0; 9.934107580988894E-9; 9.934107581096558E-9; 1.9579400297067544E-13; 2.2105774528947226E-14
10; 344; 344.0; 344; 0.0; 52; 52.0; 52; 0.0; 2.235174250131422E-8; 2.235174250131421E-8; 1.3749002811095943E-12; 2.0783376342354333E-13
20; 344; 344.0; 344; 0.0; 92; 92.0; 92; 0.0; 4.718701305250761E-8; 4.718701305294601E-8; 6.127642280763684E-12; 1.638788051832148E-12
50; 728; 728.0; 728; 0.0; 208; 211.999956; 212; 0.013266426195475555; -9.830721988592289E-8; 6.633221996938033E-5; 2.56253868769299E-5; 7.462336387901259E-6
100; 1240; 1240.0; 1240; 0.0; 408; 411.999872; 412; 0.022627054956401195; -7.41309275983258E-8; 5.656771378084635E-5; 3.1743069924526195E-5; 1.0546887698219228E-5
200; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; 8.761308041914818E-6; 0.015835490923522856; 4.606010610587889; 4.188741356667035
500; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; 7.519610947453202E-6; 0.01628473445395752; 4.871057240301215; 4.429776793444658
1000; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; 1.3645107161468502E-5; 0.016988699747782773; 5.301297202401935; 4.821040312985732
2000; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; -5.560500924282504E-5; 0.017433055317678567; 5.582244920483336; 5.076536321415159
5000; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; -7.685187423902125E-5; 0.018855339553196328; 6.5302617033111465; 5.9386700507463726
10000; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; -3.940939357888369E-5; 0.02068607741082189; 7.859920653539202; 7.1478720925914
20000; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; 2.4816310813497953E-5; 0.021848626401145613; 8.768193952130064; 7.973862792703646
50000; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; 1.977427579279496E-5; 0.02251295043510142; 9.309507392203944; 8.466137384547839
100000; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; -2.437260797277187E-5; 0.022744243287102617; 9.501777470447095; 8.640989267549449
200000; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; -1.678524389562575E-5; 0.022861326881116223; 9.599856419944059; 8.730183016046688
500000; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; -2.2428934678970742E-5; 0.02289887442749497; 9.631416010448294; 8.758883549571445
1000000; 2296; 2296.0; 2296; 0.0; 2088; 2088.0; 2088; 0.0; -1.1595798143373346E-5; 0.022927032406505538; 9.655117433349767; 8.780437805241426
